001  00396 |Loss: 1.989 | Acc: 26.703% 
001  00397 |Loss: 1.989 | Acc: 26.708% 
001  00398 |Loss: 1.988 | Acc: 26.739% 
001  00399 |Loss: 1.987 | Acc: 26.764% 
001  00400 |Loss: 1.986 | Acc: 26.793% 
001  00401 |Loss: 1.986 | Acc: 26.822% 
001  00402 |Loss: 1.985 | Acc: 26.848% 
001  00403 |Loss: 1.984 | Acc: 26.873% 
001  00404 |Loss: 1.983 | Acc: 26.897% 
001  00405 |Loss: 1.983 | Acc: 26.916% 
001  00406 |Loss: 1.982 | Acc: 26.944% 
001  00407 |Loss: 1.981 | Acc: 26.966% 
001  00408 |Loss: 1.981 | Acc: 26.984% 
001  00409 |Loss: 1.980 | Acc: 27.011% 
001  00410 |Loss: 1.979 | Acc: 27.043% 
001  00411 |Loss: 1.979 | Acc: 27.062% 
001  00412 |Loss: 1.978 | Acc: 27.101% 
001  00413 |Loss: 1.977 | Acc: 27.128% 
001  00414 |Loss: 1.977 | Acc: 27.166% 
001  00415 |Loss: 1.976 | Acc: 27.203% 
001  00416 |Loss: 1.975 | Acc: 27.220% 
001  00417 |Loss: 1.975 | Acc: 27.263% 
001  00418 |Loss: 1.974 | Acc: 27.286% 
001  00419 |Loss: 1.974 | Acc: 27.303% 
001  00420 |Loss: 1.973 | Acc: 27.325% 
001  00421 |Loss: 1.972 | Acc: 27.349% 
001  00422 |Loss: 1.972 | Acc: 27.373% 
001  00423 |Loss: 1.971 | Acc: 27.407% 
001  00424 |Loss: 1.970 | Acc: 27.414% 
001  00425 |Loss: 1.970 | Acc: 27.456% 
001  00426 |Loss: 1.969 | Acc: 27.474% 
001  00427 |Loss: 1.968 | Acc: 27.505% 
001  00428 |Loss: 1.967 | Acc: 27.539% 
001  00429 |Loss: 1.967 | Acc: 27.570% 
001  00430 |Loss: 1.966 | Acc: 27.587% 
001  00431 |Loss: 1.965 | Acc: 27.630% 
001  00432 |Loss: 1.965 | Acc: 27.660% 
001  00433 |Loss: 1.964 | Acc: 27.699% 
001  00434 |Loss: 1.963 | Acc: 27.725% 
001  00435 |Loss: 1.963 | Acc: 27.750% 
001  00436 |Loss: 1.962 | Acc: 27.772% 
001  00437 |Loss: 1.961 | Acc: 27.792% 
001  00438 |Loss: 1.960 | Acc: 27.841% 
001  00439 |Loss: 1.960 | Acc: 27.858% 
001  00440 |Loss: 1.959 | Acc: 27.905% 
001  00441 |Loss: 1.958 | Acc: 27.920% 
001  00442 |Loss: 1.957 | Acc: 27.948% 
001  00443 |Loss: 1.956 | Acc: 27.979% 
001  00444 |Loss: 1.955 | Acc: 28.007% 
001  00445 |Loss: 1.955 | Acc: 28.041% 
001  00446 |Loss: 1.954 | Acc: 28.072% 
001  00447 |Loss: 1.953 | Acc: 28.092% 
001  00448 |Loss: 1.953 | Acc: 28.137% 
001  00449 |Loss: 1.952 | Acc: 28.158% 
001  00450 |Loss: 1.952 | Acc: 28.177% 
001  00451 |Loss: 1.951 | Acc: 28.205% 
001  00452 |Loss: 1.951 | Acc: 28.224% 
001  00453 |Loss: 1.950 | Acc: 28.247% 
001  00454 |Loss: 1.949 | Acc: 28.280% 
001  00455 |Loss: 1.949 | Acc: 28.293% 
001  00456 |Loss: 1.948 | Acc: 28.313% 
001  00457 |Loss: 1.947 | Acc: 28.334% 
001  00458 |Loss: 1.947 | Acc: 28.354% 
001  00459 |Loss: 1.946 | Acc: 28.387% 
001  00460 |Loss: 1.945 | Acc: 28.414% 
001  00461 |Loss: 1.944 | Acc: 28.435% 
001  00462 |Loss: 1.944 | Acc: 28.458% 
001  00463 |Loss: 1.943 | Acc: 28.483% 
001  00464 |Loss: 1.942 | Acc: 28.509% 
001  00465 |Loss: 1.942 | Acc: 28.516% 
001  00466 |Loss: 1.941 | Acc: 28.536% 
001  00467 |Loss: 1.941 | Acc: 28.557% 
001  00468 |Loss: 1.940 | Acc: 28.576% 
001  00469 |Loss: 1.939 | Acc: 28.596% 
001  00470 |Loss: 1.939 | Acc: 28.610% 
001  00471 |Loss: 1.938 | Acc: 28.634% 
001  00472 |Loss: 1.937 | Acc: 28.663% 
001  00473 |Loss: 1.937 | Acc: 28.705% 
001  00474 |Loss: 1.936 | Acc: 28.725% 
001  00475 |Loss: 1.936 | Acc: 28.742% 
001  00476 |Loss: 1.935 | Acc: 28.777% 
001  00477 |Loss: 1.934 | Acc: 28.792% 
001  00478 |Loss: 1.934 | Acc: 28.805% 
001  00479 |Loss: 1.933 | Acc: 28.836% 
001  00480 |Loss: 1.933 | Acc: 28.849% 
001  00481 |Loss: 1.932 | Acc: 28.880% 
001  00482 |Loss: 1.932 | Acc: 28.908% 
001  00483 |Loss: 1.931 | Acc: 28.916% 
001  00484 |Loss: 1.931 | Acc: 28.929% 
001  00485 |Loss: 1.930 | Acc: 28.945% 
001  00486 |Loss: 1.930 | Acc: 28.969% 
001  00487 |Loss: 1.929 | Acc: 28.996% 
001  00488 |Loss: 1.928 | Acc: 29.014% 
001  00489 |Loss: 1.928 | Acc: 29.036% 
001  00490 |Loss: 1.927 | Acc: 29.064% 
001  00491 |Loss: 1.927 | Acc: 29.078% 
001  00492 |Loss: 1.926 | Acc: 29.100% 
001  00493 |Loss: 1.925 | Acc: 29.127% 
001  00494 |Loss: 1.925 | Acc: 29.156% 
001  00495 |Loss: 1.924 | Acc: 29.173% 
001  00496 |Loss: 1.924 | Acc: 29.193% 
001  00497 |Loss: 1.923 | Acc: 29.227% 
001  00498 |Loss: 1.923 | Acc: 29.244% 
001  00499 |Loss: 1.923 | Acc: 29.251% 
001  00500 |Loss: 1.923 | Acc: 29.263% 
001  00501 |Loss: 1.922 | Acc: 29.288% 
001  00502 |Loss: 1.922 | Acc: 29.306% 
001  00503 |Loss: 1.921 | Acc: 29.332% 
001  00504 |Loss: 1.920 | Acc: 29.365% 
001  00505 |Loss: 1.920 | Acc: 29.386% 
001  00506 |Loss: 1.919 | Acc: 29.414% 
001  00507 |Loss: 1.919 | Acc: 29.442% 
001  00508 |Loss: 1.918 | Acc: 29.468% 
001  00509 |Loss: 1.917 | Acc: 29.502% 
001  00510 |Loss: 1.917 | Acc: 29.533% 
001  00511 |Loss: 1.916 | Acc: 29.544% 
001  00512 |Loss: 1.915 | Acc: 29.567% 
001  00513 |Loss: 1.915 | Acc: 29.578% 
001  00514 |Loss: 1.914 | Acc: 29.595% 
001  00515 |Loss: 1.914 | Acc: 29.618% 
001  00516 |Loss: 1.913 | Acc: 29.650% 
001  00517 |Loss: 1.913 | Acc: 29.669% 
001  00518 |Loss: 1.912 | Acc: 29.689% 
