001  00159 |Loss: 2.149 | Acc: 24.941% 
001  00160 |Loss: 2.145 | Acc: 25.020% 
001  00161 |Loss: 2.143 | Acc: 25.068% 
001  00162 |Loss: 2.142 | Acc: 25.096% 
001  00163 |Loss: 2.138 | Acc: 25.173% 
001  00164 |Loss: 2.136 | Acc: 25.257% 
001  00165 |Loss: 2.132 | Acc: 25.336% 
001  00166 |Loss: 2.130 | Acc: 25.391% 
001  00167 |Loss: 2.128 | Acc: 25.440% 
001  00168 |Loss: 2.126 | Acc: 25.502% 
001  00169 |Loss: 2.122 | Acc: 25.643% 
001  00170 |Loss: 2.120 | Acc: 25.758% 
001  00171 |Loss: 2.116 | Acc: 25.891% 
001  00172 |Loss: 2.113 | Acc: 25.967% 
001  00173 |Loss: 2.112 | Acc: 25.984% 
001  00174 |Loss: 2.110 | Acc: 26.078% 
001  00175 |Loss: 2.107 | Acc: 26.201% 
001  00176 |Loss: 2.104 | Acc: 26.256% 
001  00177 |Loss: 2.102 | Acc: 26.333% 
001  00178 |Loss: 2.100 | Acc: 26.422% 
001  00179 |Loss: 2.098 | Acc: 26.493% 
001  00180 |Loss: 2.096 | Acc: 26.562% 
001  00181 |Loss: 2.093 | Acc: 26.657% 
001  00182 |Loss: 2.091 | Acc: 26.704% 
001  00183 |Loss: 2.089 | Acc: 26.810% 
001  00184 |Loss: 2.087 | Acc: 26.864% 
001  00185 |Loss: 2.086 | Acc: 26.896% 
001  00186 |Loss: 2.084 | Acc: 26.962% 
001  00187 |Loss: 2.081 | Acc: 27.018% 
001  00188 |Loss: 2.079 | Acc: 27.111% 
001  00189 |Loss: 2.076 | Acc: 27.216% 
001  00190 |Loss: 2.074 | Acc: 27.299% 
001  00191 |Loss: 2.072 | Acc: 27.336% 
001  00192 |Loss: 2.069 | Acc: 27.417% 
001  00193 |Loss: 2.067 | Acc: 27.514% 
001  00194 |Loss: 2.065 | Acc: 27.569% 
001  00195 |Loss: 2.064 | Acc: 27.600% 
001  00196 |Loss: 2.061 | Acc: 27.714% 
001  00197 |Loss: 2.060 | Acc: 27.764% 
001  00198 |Loss: 2.057 | Acc: 27.833% 
001  00199 |Loss: 2.056 | Acc: 27.889% 
001  00200 |Loss: 2.054 | Acc: 27.949% 
001  00201 |Loss: 2.052 | Acc: 27.997% 
001  00202 |Loss: 2.050 | Acc: 28.082% 
001  00203 |Loss: 2.048 | Acc: 28.171% 
001  00204 |Loss: 2.046 | Acc: 28.248% 
001  00205 |Loss: 2.044 | Acc: 28.319% 
