002  00215 |Loss: 2.119 | Acc: 18.771% 
002  00216 |Loss: 2.119 | Acc: 18.828% 
002  00217 |Loss: 2.115 | Acc: 18.899% 
002  00218 |Loss: 2.112 | Acc: 19.229% 
002  00219 |Loss: 2.109 | Acc: 19.344% 
002  00220 |Loss: 2.109 | Acc: 19.336% 
002  00221 |Loss: 2.110 | Acc: 19.406% 
002  00222 |Loss: 2.111 | Acc: 19.366% 
002  00223 |Loss: 2.111 | Acc: 19.387% 
002  00224 |Loss: 2.112 | Acc: 19.350% 
002  00225 |Loss: 2.109 | Acc: 19.423% 
002  00226 |Loss: 2.108 | Acc: 19.557% 
002  00227 |Loss: 2.110 | Acc: 19.544% 
002  00228 |Loss: 2.107 | Acc: 19.568% 
002  00229 |Loss: 2.104 | Acc: 19.709% 
002  00230 |Loss: 2.102 | Acc: 19.818% 
002  00231 |Loss: 2.102 | Acc: 19.766% 
002  00232 |Loss: 2.102 | Acc: 19.824% 
002  00233 |Loss: 2.101 | Acc: 19.880% 
002  00234 |Loss: 2.101 | Acc: 19.963% 
002  00235 |Loss: 2.101 | Acc: 19.942% 
002  00236 |Loss: 2.099 | Acc: 20.068% 
002  00237 |Loss: 2.098 | Acc: 20.074% 
002  00238 |Loss: 2.098 | Acc: 20.089% 
002  00239 |Loss: 2.097 | Acc: 20.104% 
002  00240 |Loss: 2.098 | Acc: 20.099% 
002  00241 |Loss: 2.098 | Acc: 20.043% 
002  00242 |Loss: 2.097 | Acc: 20.109% 
002  00243 |Loss: 2.096 | Acc: 20.138% 
002  00244 |Loss: 2.096 | Acc: 20.109% 
002  00245 |Loss: 2.096 | Acc: 20.105% 
002  00246 |Loss: 2.095 | Acc: 20.078% 
002  00247 |Loss: 2.094 | Acc: 20.121% 
002  00248 |Loss: 2.093 | Acc: 20.207% 
002  00249 |Loss: 2.091 | Acc: 20.342% 
002  00250 |Loss: 2.090 | Acc: 20.464% 
002  00251 |Loss: 2.089 | Acc: 20.476% 
002  00252 |Loss: 2.088 | Acc: 20.487% 
002  00253 |Loss: 2.088 | Acc: 20.491% 
002  00254 |Loss: 2.088 | Acc: 20.501% 
002  00255 |Loss: 2.087 | Acc: 20.458% 
002  00256 |Loss: 2.086 | Acc: 20.501% 
002  00257 |Loss: 2.084 | Acc: 20.473% 
002  00258 |Loss: 2.083 | Acc: 20.432% 
002  00259 |Loss: 2.081 | Acc: 20.455% 
002  00260 |Loss: 2.081 | Acc: 20.459% 
002  00261 |Loss: 2.080 | Acc: 20.589% 
002  00262 |Loss: 2.080 | Acc: 20.585% 
002  00263 |Loss: 2.078 | Acc: 20.581% 
002  00264 |Loss: 2.078 | Acc: 20.623% 
002  00265 |Loss: 2.077 | Acc: 20.692% 
002  00266 |Loss: 2.075 | Acc: 20.765% 
002  00267 |Loss: 2.075 | Acc: 20.720% 
002  00268 |Loss: 2.074 | Acc: 20.785% 
002  00269 |Loss: 2.073 | Acc: 20.794% 
002  00270 |Loss: 2.072 | Acc: 20.856% 
002  00271 |Loss: 2.072 | Acc: 20.896% 
002  00272 |Loss: 2.070 | Acc: 20.940% 
002  00273 |Loss: 2.070 | Acc: 20.921% 
002  00274 |Loss: 2.068 | Acc: 20.913% 
002  00275 |Loss: 2.068 | Acc: 20.822% 
002  00276 |Loss: 2.068 | Acc: 20.767% 
002  00277 |Loss: 2.068 | Acc: 20.804% 
002  00278 |Loss: 2.067 | Acc: 20.865% 
002  00279 |Loss: 2.066 | Acc: 20.905% 
002  00280 |Loss: 2.065 | Acc: 20.926% 
002  00281 |Loss: 2.064 | Acc: 20.901% 
002  00282 |Loss: 2.064 | Acc: 20.917% 
002  00283 |Loss: 2.064 | Acc: 20.865% 
002  00284 |Loss: 2.063 | Acc: 20.943% 
002  00285 |Loss: 2.061 | Acc: 20.953% 
002  00286 |Loss: 2.061 | Acc: 20.924% 
002  00287 |Loss: 2.060 | Acc: 20.926% 
002  00288 |Loss: 2.060 | Acc: 20.941% 
002  00289 |Loss: 2.059 | Acc: 20.985% 
002  00290 |Loss: 2.059 | Acc: 20.961% 
002  00291 |Loss: 2.058 | Acc: 21.003% 
002  00292 |Loss: 2.058 | Acc: 20.992% 
002  00293 |Loss: 2.058 | Acc: 21.041% 
002  00294 |Loss: 2.057 | Acc: 21.030% 
002  00295 |Loss: 2.056 | Acc: 21.046% 
002  00296 |Loss: 2.055 | Acc: 21.035% 
002  00297 |Loss: 2.054 | Acc: 21.090% 
002  00298 |Loss: 2.052 | Acc: 21.151% 
002  00299 |Loss: 2.051 | Acc: 21.158% 
002  00300 |Loss: 2.051 | Acc: 21.113% 
002  00301 |Loss: 2.051 | Acc: 21.090% 
002  00302 |Loss: 2.050 | Acc: 21.167% 
002  00303 |Loss: 2.049 | Acc: 21.170% 
002  00304 |Loss: 2.049 | Acc: 21.224% 
002  00305 |Loss: 2.049 | Acc: 21.201% 
002  00306 |Loss: 2.049 | Acc: 21.183% 
002  00307 |Loss: 2.049 | Acc: 21.157% 
002  00308 |Loss: 2.048 | Acc: 21.150% 
002  00309 |Loss: 2.048 | Acc: 21.142% 
002  00310 |Loss: 2.047 | Acc: 21.207% 
002  00311 |Loss: 2.047 | Acc: 21.250% 
002  00312 |Loss: 2.046 | Acc: 21.269% 
002  00313 |Loss: 2.045 | Acc: 21.297% 
002  00314 |Loss: 2.045 | Acc: 21.296% 
002  00315 |Loss: 2.045 | Acc: 21.301% 
002  00316 |Loss: 2.045 | Acc: 21.344% 
002  00317 |Loss: 2.044 | Acc: 21.397% 
002  00318 |Loss: 2.043 | Acc: 21.427% 
002  00319 |Loss: 2.042 | Acc: 21.475% 
002  00320 |Loss: 2.042 | Acc: 21.456% 
002  00321 |Loss: 2.042 | Acc: 21.466% 
002  00322 |Loss: 2.041 | Acc: 21.484% 
002  00323 |Loss: 2.041 | Acc: 21.515% 
002  00324 |Loss: 2.041 | Acc: 21.472% 
002  00325 |Loss: 2.040 | Acc: 21.469% 
002  00326 |Loss: 2.039 | Acc: 21.481% 
002  00327 |Loss: 2.040 | Acc: 21.487% 
002  00328 |Loss: 2.039 | Acc: 21.473% 
002  00329 |Loss: 2.038 | Acc: 21.481% 
002  00330 |Loss: 2.038 | Acc: 21.502% 
002  00331 |Loss: 2.038 | Acc: 21.493% 
002  00332 |Loss: 2.037 | Acc: 21.536% 
002  00333 |Loss: 2.036 | Acc: 21.559% 
002  00334 |Loss: 2.036 | Acc: 21.538% 
002  00335 |Loss: 2.035 | Acc: 21.563% 
002  00336 |Loss: 2.034 | Acc: 21.579% 
002  00337 |Loss: 2.033 | Acc: 21.604% 
002  00338 |Loss: 2.033 | Acc: 21.603% 
002  00339 |Loss: 2.032 | Acc: 21.615% 
002  00340 |Loss: 2.032 | Acc: 21.642% 
002  00341 |Loss: 2.031 | Acc: 21.662% 
002  00342 |Loss: 2.030 | Acc: 21.712% 
002  00343 |Loss: 2.030 | Acc: 21.678% 
002  00344 |Loss: 2.030 | Acc: 21.701% 
002  00345 |Loss: 2.029 | Acc: 21.686% 
002  00346 |Loss: 2.029 | Acc: 21.706% 
002  00347 |Loss: 2.029 | Acc: 21.702% 
002  00348 |Loss: 2.029 | Acc: 21.731% 
002  00349 |Loss: 2.028 | Acc: 21.732% 
002  00350 |Loss: 2.027 | Acc: 21.741% 
002  00351 |Loss: 2.027 | Acc: 21.746% 
002  00352 |Loss: 2.027 | Acc: 21.775% 
002  00353 |Loss: 2.026 | Acc: 21.795% 
002  00354 |Loss: 2.025 | Acc: 21.816% 
002  00355 |Loss: 2.025 | Acc: 21.838% 
002  00356 |Loss: 2.024 | Acc: 21.855% 
002  00357 |Loss: 2.024 | Acc: 21.860% 
002  00358 |Loss: 2.023 | Acc: 21.933% 
002  00359 |Loss: 2.023 | Acc: 21.952% 
002  00360 |Loss: 2.023 | Acc: 21.977% 
002  00361 |Loss: 2.022 | Acc: 22.003% 
002  00362 |Loss: 2.022 | Acc: 22.030% 
002  00363 |Loss: 2.021 | Acc: 22.041% 
002  00364 |Loss: 2.021 | Acc: 22.042% 
002  00365 |Loss: 2.020 | Acc: 22.081% 
002  00366 |Loss: 2.019 | Acc: 22.098% 
002  00367 |Loss: 2.019 | Acc: 22.094% 
002  00368 |Loss: 2.018 | Acc: 22.134% 
002  00369 |Loss: 2.017 | Acc: 22.162% 
