001  00213 |Loss: 3.172 | Acc: 13.589% 
001  00214 |Loss: 3.167 | Acc: 13.639% 
001  00215 |Loss: 3.162 | Acc: 13.688% 
001  00216 |Loss: 3.157 | Acc: 13.733% 
001  00217 |Loss: 3.152 | Acc: 13.774% 
001  00218 |Loss: 3.147 | Acc: 13.790% 
001  00219 |Loss: 3.142 | Acc: 13.834% 
001  00220 |Loss: 3.137 | Acc: 13.878% 
001  00221 |Loss: 3.132 | Acc: 13.886% 
001  00222 |Loss: 3.127 | Acc: 13.915% 
001  00223 |Loss: 3.122 | Acc: 13.975% 
001  00224 |Loss: 3.118 | Acc: 14.017% 
001  00225 |Loss: 3.113 | Acc: 14.045% 
001  00226 |Loss: 3.109 | Acc: 14.045% 
001  00227 |Loss: 3.105 | Acc: 14.059% 
001  00228 |Loss: 3.101 | Acc: 14.086% 
001  00229 |Loss: 3.096 | Acc: 14.110% 
001  00230 |Loss: 3.092 | Acc: 14.103% 
001  00231 |Loss: 3.087 | Acc: 14.130% 
001  00232 |Loss: 3.083 | Acc: 14.167% 
001  00233 |Loss: 3.078 | Acc: 14.207% 
001  00234 |Loss: 3.074 | Acc: 14.246% 
001  00235 |Loss: 3.070 | Acc: 14.269% 
001  00236 |Loss: 3.065 | Acc: 14.311% 
001  00237 |Loss: 3.061 | Acc: 14.326% 
001  00238 |Loss: 3.057 | Acc: 14.364% 
001  00239 |Loss: 3.053 | Acc: 14.389% 
001  00240 |Loss: 3.049 | Acc: 14.417% 
001  00241 |Loss: 3.045 | Acc: 14.442% 
001  00242 |Loss: 3.041 | Acc: 14.495% 
001  00243 |Loss: 3.037 | Acc: 14.516% 
001  00244 |Loss: 3.033 | Acc: 14.552% 
001  00245 |Loss: 3.029 | Acc: 14.608% 
001  00246 |Loss: 3.024 | Acc: 14.647% 
001  00247 |Loss: 3.020 | Acc: 14.692% 
001  00248 |Loss: 3.016 | Acc: 14.715% 
001  00249 |Loss: 3.012 | Acc: 14.715% 
001  00250 |Loss: 3.008 | Acc: 14.750% 
001  00251 |Loss: 3.004 | Acc: 14.788% 
001  00252 |Loss: 3.000 | Acc: 14.838% 
001  00253 |Loss: 2.997 | Acc: 14.859% 
001  00254 |Loss: 2.993 | Acc: 14.890% 
001  00255 |Loss: 2.989 | Acc: 14.926% 
001  00256 |Loss: 2.985 | Acc: 14.944% 
001  00257 |Loss: 2.982 | Acc: 14.941% 
001  00258 |Loss: 2.978 | Acc: 14.971% 
001  00259 |Loss: 2.975 | Acc: 15.004% 
001  00260 |Loss: 2.971 | Acc: 15.030% 
001  00261 |Loss: 2.967 | Acc: 15.044% 
001  00262 |Loss: 2.964 | Acc: 15.082% 
001  00263 |Loss: 2.961 | Acc: 15.084% 
001  00264 |Loss: 2.957 | Acc: 15.095% 
001  00265 |Loss: 2.954 | Acc: 15.115% 
001  00266 |Loss: 2.950 | Acc: 15.135% 
001  00267 |Loss: 2.947 | Acc: 15.160% 
001  00268 |Loss: 2.943 | Acc: 15.179% 
001  00269 |Loss: 2.940 | Acc: 15.213% 
001  00270 |Loss: 2.937 | Acc: 15.240% 
001  00271 |Loss: 2.933 | Acc: 15.276% 
001  00272 |Loss: 2.930 | Acc: 15.298% 
001  00273 |Loss: 2.926 | Acc: 15.327% 
001  00274 |Loss: 2.923 | Acc: 15.363% 
001  00275 |Loss: 2.920 | Acc: 15.398% 
001  00276 |Loss: 2.916 | Acc: 15.427% 
001  00277 |Loss: 2.916 | Acc: 15.430% 
001  00278 |Loss: 2.913 | Acc: 15.440% 
001  00279 |Loss: 2.911 | Acc: 15.412% 
001  00280 |Loss: 2.909 | Acc: 15.407% 
001  00281 |Loss: 2.907 | Acc: 15.391% 
001  00282 |Loss: 2.904 | Acc: 15.401% 
001  00283 |Loss: 2.902 | Acc: 15.385% 
001  00284 |Loss: 2.899 | Acc: 15.394% 
001  00285 |Loss: 2.896 | Acc: 15.397% 
001  00286 |Loss: 2.894 | Acc: 15.420% 
001  00287 |Loss: 2.891 | Acc: 15.440% 
001  00288 |Loss: 2.889 | Acc: 15.454% 
001  00289 |Loss: 2.886 | Acc: 15.460% 
001  00290 |Loss: 2.883 | Acc: 15.477% 
001  00291 |Loss: 2.881 | Acc: 15.477% 
001  00292 |Loss: 2.879 | Acc: 15.478% 
001  00293 |Loss: 2.876 | Acc: 15.486% 
001  00294 |Loss: 2.874 | Acc: 15.492% 
001  00295 |Loss: 2.871 | Acc: 15.519% 
001  00296 |Loss: 2.868 | Acc: 15.514% 
001  00297 |Loss: 2.866 | Acc: 15.533% 
001  00298 |Loss: 2.863 | Acc: 15.559% 
001  00299 |Loss: 2.861 | Acc: 15.581% 
001  00300 |Loss: 2.858 | Acc: 15.602% 
001  00301 |Loss: 2.856 | Acc: 15.625% 
001  00302 |Loss: 2.853 | Acc: 15.635% 
001  00303 |Loss: 2.850 | Acc: 15.659% 
001  00304 |Loss: 2.848 | Acc: 15.684% 
001  00305 |Loss: 2.845 | Acc: 15.699% 
001  00306 |Loss: 2.843 | Acc: 15.727% 
001  00307 |Loss: 2.840 | Acc: 15.742% 
001  00308 |Loss: 2.838 | Acc: 15.777% 
001  00309 |Loss: 2.835 | Acc: 15.812% 
001  00310 |Loss: 2.832 | Acc: 15.822% 
001  00311 |Loss: 2.830 | Acc: 15.849% 
001  00312 |Loss: 2.827 | Acc: 15.865% 
001  00313 |Loss: 2.825 | Acc: 15.910% 
001  00314 |Loss: 2.823 | Acc: 15.936% 
001  00315 |Loss: 2.821 | Acc: 15.947% 
001  00316 |Loss: 2.818 | Acc: 15.956% 
001  00317 |Loss: 2.816 | Acc: 15.997% 
001  00318 |Loss: 2.813 | Acc: 16.011% 
001  00319 |Loss: 2.811 | Acc: 16.029% 
001  00320 |Loss: 2.808 | Acc: 16.047% 
001  00321 |Loss: 2.806 | Acc: 16.080% 
001  00322 |Loss: 2.803 | Acc: 16.127% 
001  00323 |Loss: 2.801 | Acc: 16.131% 
001  00324 |Loss: 2.799 | Acc: 16.155% 
001  00325 |Loss: 2.797 | Acc: 16.190% 
001  00326 |Loss: 2.794 | Acc: 16.224% 
001  00327 |Loss: 2.792 | Acc: 16.229% 
001  00328 |Loss: 2.790 | Acc: 16.249% 
001  00329 |Loss: 2.787 | Acc: 16.271% 
001  00330 |Loss: 2.785 | Acc: 16.312% 
001  00331 |Loss: 2.782 | Acc: 16.324% 
001  00332 |Loss: 2.780 | Acc: 16.352% 
001  00333 |Loss: 2.778 | Acc: 16.378% 
001  00334 |Loss: 2.775 | Acc: 16.397% 
001  00335 |Loss: 2.773 | Acc: 16.409% 
001  00336 |Loss: 2.771 | Acc: 16.413% 
001  00337 |Loss: 2.769 | Acc: 16.416% 
001  00338 |Loss: 2.767 | Acc: 16.432% 
001  00339 |Loss: 2.765 | Acc: 16.436% 
001  00340 |Loss: 2.763 | Acc: 16.455% 
001  00341 |Loss: 2.760 | Acc: 16.468% 
001  00342 |Loss: 2.758 | Acc: 16.520% 
