001  00167 |Loss: 1.766 | Acc: 35.853% 
001  00168 |Loss: 1.765 | Acc: 35.900% 
001  00169 |Loss: 1.763 | Acc: 36.002% 
001  00170 |Loss: 1.761 | Acc: 36.020% 
001  00171 |Loss: 1.761 | Acc: 36.020% 
001  00172 |Loss: 1.760 | Acc: 36.019% 
001  00173 |Loss: 1.759 | Acc: 36.073% 
001  00174 |Loss: 1.758 | Acc: 36.072% 
001  00175 |Loss: 1.756 | Acc: 36.134% 
001  00176 |Loss: 1.755 | Acc: 36.159% 
001  00177 |Loss: 1.752 | Acc: 36.220% 
001  00178 |Loss: 1.751 | Acc: 36.315% 
001  00179 |Loss: 1.749 | Acc: 36.409% 
001  00180 |Loss: 1.749 | Acc: 36.424% 
001  00181 |Loss: 1.746 | Acc: 36.516% 
001  00182 |Loss: 1.745 | Acc: 36.556% 
001  00183 |Loss: 1.745 | Acc: 36.544% 
001  00184 |Loss: 1.743 | Acc: 36.617% 
001  00185 |Loss: 1.742 | Acc: 36.622% 
001  00186 |Loss: 1.739 | Acc: 36.702% 
001  00187 |Loss: 1.738 | Acc: 36.756% 
001  00188 |Loss: 1.738 | Acc: 36.794% 
001  00189 |Loss: 1.737 | Acc: 36.789% 
001  00190 |Loss: 1.736 | Acc: 36.834% 
001  00191 |Loss: 1.736 | Acc: 36.862% 
001  00192 |Loss: 1.735 | Acc: 36.906% 
001  00193 |Loss: 1.732 | Acc: 37.047% 
001  00194 |Loss: 1.730 | Acc: 37.121% 
001  00195 |Loss: 1.729 | Acc: 37.155% 
001  00196 |Loss: 1.729 | Acc: 37.125% 
001  00197 |Loss: 1.729 | Acc: 37.167% 
001  00198 |Loss: 1.727 | Acc: 37.232% 
001  00199 |Loss: 1.725 | Acc: 37.288% 
001  00200 |Loss: 1.724 | Acc: 37.336% 
001  00201 |Loss: 1.723 | Acc: 37.414% 
001  00202 |Loss: 1.721 | Acc: 37.469% 
001  00203 |Loss: 1.721 | Acc: 37.531% 
001  00204 |Loss: 1.719 | Acc: 37.615% 
001  00205 |Loss: 1.717 | Acc: 37.660% 
001  00206 |Loss: 1.716 | Acc: 37.674% 
001  00207 |Loss: 1.715 | Acc: 37.719% 
